2025-08-14 17:29:06 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:06:39 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:06:39 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:07:52 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:07:53 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:10:08 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:11:12 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:11:17 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:13:33 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:13:34 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:35:38 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:35:40 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:36:55 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:36:57 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:37:00 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:37:01 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:37:04 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:38:13 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:38:17 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:38:18 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:38:23 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:38:24 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:38:25 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:40:47 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:40:50 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:40:51 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:44:08 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:44:10 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:44:13 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:44:14 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:47:24 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:47:26 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:47:28 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:47:30 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:47:32 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:33 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:34 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:47:36 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:37 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:39 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:40 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:42 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:47:43 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:47:45 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:47:46 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-25 15:09:25 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:09:27 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:09:36 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:09:40 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:09:40 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:09:42 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:09:43 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:09:44 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:09:46 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:09:48 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:09:51 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-25 15:09:54 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-25 15:09:56 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:11:08 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 15:11:10 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 15:11:11 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:11:12 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 15:11:14 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:11:14 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 15:11:17 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:11:17 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 15:22:34 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 15:22:37 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:22:42 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:22:45 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 15:22:48 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:22:53 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:22:56 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:23:10 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 15:23:11 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:23:12 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:47:36 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 15:48:11 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 15:48:22 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 15:52:44 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:52:55 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 15:52:56 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 15:52:57 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 15:52:58 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-25 16:11:55 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 16:13:47 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 16:13:50 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 16:14:03 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:14:05 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 16:14:09 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 16:14:10 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:16:32 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 16:17:10 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-25 16:17:14 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:17:16 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 16:17:17 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 16:17:19 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 16:17:22 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:17:22 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-25 16:17:27 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:17:29 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:28:23 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-25 16:28:53 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-25 16:28:54 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-25 18:49:40 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-26 17:52:12 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-26 17:52:27 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-26 17:54:09 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-26 17:54:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-26 17:54:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-26 17:54:12 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-26 17:54:13 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-26 17:54:15 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-26 17:54:16 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-26 17:56:08 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:14:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:14:33 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:14:38 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:14:40 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:14:46 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-18 16:14:47 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:14:49 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:14:54 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:14:56 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:14:58 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-18 16:14:59 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:15:11 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-18 16:16:45 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-18 16:16:53 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:16:59 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:16:59 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-18 16:17:13 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:19:31 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 16:19:34 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:19:38 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-18 16:19:44 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-18 16:19:53 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-18 16:19:57 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:19:58 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:21:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:21:13 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:21:16 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-18 16:21:17 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-18 16:22:16 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-18 16:43:55 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:50:12 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 16:50:16 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-18 17:00:46 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-18 17:00:49 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-18 17:01:37 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-18 17:01:38 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 17:01:41 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-18 17:01:42 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-18 17:01:43 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 12:02:37 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-19 12:02:47 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 12:02:51 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 12:03:00 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 12:03:05 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 12:03:06 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 12:03:09 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-19 12:03:11 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 12:03:16 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 12:03:17 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 12:03:21 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 12:03:21 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 12:03:49 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 12:03:54 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-19 12:03:56 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 12:05:10 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 12:05:16 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
